capability_id,domain,category,group,canonical_capability,support_count,confidence,definition,related_naics_families,observed_unspsc_codes
health.medical_exams,Healthcare and Human Services,Clinical Services,Examinations,Medical Examinations and Physicals,4,HIGH,"Pre-employment, pre-enrollment, occupational, or program-required medical examinations.",62 Health Care and Social Assistance | 6211 Offices of Physicians | 6219 Other Ambulatory Health Care Services,42181500
health.medical_staff,Healthcare and Human Services,Clinical Services,Medical Professionals,"Medical Director, Physician, and Speech Pathology Services",2,MODERATE,"Temporary or contracted clinical-professional services delivered by physicians, medical directors, or speech-language pathologists.",62 Health Care and Social Assistance | 6211 Offices of Physicians | 6213 Offices of Other Health Practitioners,85121501 | 85121502 | 85121704 | 85122108
health.occupational,Healthcare and Human Services,Occupational Health,Monitoring,Occupational Health and Biomedical Monitoring,1,MODERATE,"Occupational medical care, surveillance, testing, and biomedical monitoring for employees exposed to workplace hazards.",62 Health Care and Social Assistance | 6219 Other Ambulatory Health Care Services,85101500 | 85101600 | 85121800
health.provider_network,Healthcare and Human Services,Healthcare Administration,Provider Services,Provider Network and Prior Authorization Services,1,MODERATE,Administration and operation of healthcare provider networks and utilization or prior-authorization services.,52 Finance and Insurance | 5241 Insurance Carriers | 62 Health Care and Social Assistance,85101601
health.dosimetry,Healthcare and Human Services,Clinical Support,Radiation Safety,Radiation Dosimetry Services,1,MODERATE,"Monitoring, measurement, reporting, and management of occupational radiation exposure.","54 Professional, Scientific, and Technical Services | 5413 Architectural, Engineering, and Related Services | 62 Health Care and Social Assistance",42203900 | 77111506
health.medical_equipment_maintenance,Healthcare and Human Services,Medical Equipment,Maintenance,Medical Equipment Maintenance and Repair,1,MODERATE,"Preventive maintenance, inspection, repair, and technical support for medical equipment.",81 Other Services | 8112 Electronic and Precision Equipment Repair and Maintenance,73152108 | 85161500 | 85161503
health.healthcare_outreach,Healthcare and Human Services,Healthcare Administration,Enrollment and Education,Healthcare Options and Enrollment Support,1,MODERATE,"Beneficiary education, enrollment assistance, choice counseling, and healthcare program communications.","62 Health Care and Social Assistance | 6241 Individual and Family Services | 54 Professional, Scientific, and Technical Services",85101700
health.supervision_monitoring,Healthcare and Human Services,Behavioral and Community Services,Supervision,Enhanced Supervision and Monitoring Services,1,MODERATE,"Structured community supervision, electronic or physical monitoring, and compliance support for high-risk program participants.",62 Health Care and Social Assistance | 6241 Individual and Family Services | 56 Administrative and Support,92121500 | 92121504
security.guard_services,Public Safety and Security,Protective Services,Security Guards,Security Guard and Event Security Services,3,HIGH,"Uniformed or unarmed security guard coverage for facilities, campuses, and events.",56 Administrative and Support and Waste Management and Remediation Services | 5616 Investigation and Security Services,92121504
security.firing_range,Public Safety and Security,Training Facilities,Firing Ranges,Weapons Firing Range Services,2,MODERATE,"Access to, operation of, or service provision for weapons firing-range facilities.","71 Arts, Entertainment, and Recreation | 7139 Other Amusement and Recreation Industries | 61 Educational Services",46201102
security.ammunition,Public Safety and Security,Public Safety Supplies,Ammunition,Ammunition Supply,1,MODERATE,Supply and delivery of factory-loaded ammunition for authorized public-safety use.,42 Wholesale Trade | 4239 Miscellaneous Durable Goods Merchant Wholesalers,46101500 | 46101601
workforce.staffing,"Workforce, Education and Training",Workforce Services,Staffing,Temporary Staffing and Staff Augmentation,2,MODERATE,"Provision of temporary personnel, staff augmentation, and contingent workforce capacity.",56 Administrative and Support and Waste Management and Remediation Services | 5613 Employment Services,80111601 | 80111604 | 80111606 | 80111620
training.fire_safety,"Workforce, Education and Training",Training Services,Public Safety Training,Firefighter and Public Safety Training,1,MODERATE,Certified firefighter and public-safety training courses.,61 Educational Services | 6115 Technical and Trade Schools,86132000 | 86132101
training.health_safety,"Workforce, Education and Training",Training Services,Health and Safety,"Health, Safety, and Process Training",2,MODERATE,"Workplace safety, process-safety, health-and-safety, and industry-standard technical training.",61 Educational Services | 6114 Business Schools and Computer and Management Training | 6115 Technical and Trade Schools,41113316 | 86132101 | 86132102
training.education,"Workforce, Education and Training",Education Services,Instruction,Education and Instructional Services,1,MODERATE,"Specialized educational, arts, or instructional services delivered to program participants.",61 Educational Services | 6116 Other Schools and Instruction,82151700 | 86131500 | 86131600
